county_code,county_name,success,records_scraped,pages_processed,duration_seconds,data_quality_score,start_time,end_time,error_message,data_file_path
35,Henry,False,0,0,11.297461,0.0,2025-09-25T20:32:46.345819,2025-09-25T20:32:57.643280,,
33,Greene,False,0,0,11.708772,0.0,2025-09-25T20:32:46.345193,2025-09-25T20:32:58.053965,,
36,Houston,False,0,0,11.956775,0.0,2025-09-25T20:32:57.646632,2025-09-25T20:33:09.603407,,
37,Jackson,False,0,0,11.551584,0.0,2025-09-25T20:32:58.055039,2025-09-25T20:33:09.606623,,
39,Lamar,True,3,0,17.967482,25.0,2025-09-25T20:33:09.607881,2025-09-25T20:33:27.575363,,data/raw/scraped_lamar_county_20250925_203309.csv
40,Lauderdale,False,0,0,12.368629,0.0,2025-09-25T20:33:27.577338,2025-09-25T20:33:39.945967,,
38,Jefferson,True,75,0,100.968653,31.545454545454547,2025-09-25T20:33:09.605824,2025-09-25T20:34:50.574477,,data/raw/scraped_jefferson_county_20250925_203309.csv
41,Lawrence,True,60,0,81.987125,32.0,2025-09-25T20:33:39.947021,2025-09-25T20:35:01.934146,,data/raw/scraped_lawrence_county_20250925_203339.csv
42,Lee,False,0,0,11.885785,0.0,2025-09-25T20:34:50.576205,2025-09-25T20:35:02.461990,,
43,Limestone,True,2,0,16.530996,25.0,2025-09-25T20:35:01.935882,2025-09-25T20:35:18.466878,,data/raw/scraped_limestone_county_20250925_203501.csv
44,Lowndes,True,5,0,20.174572,25.0,2025-09-25T20:35:02.463029,2025-09-25T20:35:22.637601,,data/raw/scraped_lowndes_county_20250925_203502.csv
45,Macon,True,1,0,15.547008,25.0,2025-09-25T20:35:18.468532,2025-09-25T20:35:34.015540,,data/raw/scraped_macon_county_20250925_203518.csv
47,Marengo,True,6,0,22.101923,25.0,2025-09-25T20:35:34.017176,2025-09-25T20:35:56.119099,,data/raw/scraped_marengo_county_20250925_203534.csv
48,Marion,False,0,0,10.782744,0.0,2025-09-25T20:35:56.120711,2025-09-25T20:36:06.903455,,
46,Madison,True,24,0,45.284801,29.0,2025-09-25T20:35:22.639418,2025-09-25T20:36:07.924219,,data/raw/scraped_madison_county_20250925_203522.csv
34,Hale,True,249,0,332.791351,35.0,2025-09-25T20:32:46.345515,2025-09-25T20:38:19.136866,,data/raw/scraped_hale_county_20250925_203246.csv
