parcel_id,county,description,original_acreage,acreage,acreage_change,original_price_per_acre,price_per_acre,original_investment_score,investment_score,score_change
TEST-AUTH-001,Baldwin,Beautiful creek frontage test property,3.0,3.0,0.0,1666.6666666666667,1666.6666666666667,57.9,48.4,-9.5
R001234568,Baldwin,LOT 2 BLK 5 CREEK SUBDIVISION 75' X 150' NEAR SPRING,0.0,0.25826446280991733,0.25826446280991733,0.0,12392.336000000001,39.0,26.2,-12.8
R001234575,Baldwin,LOT 12 WATER VIEW 2.1 AC WITH STREAM,0.0,2.1,2.1,0.0,3238.095238095238,41.1,49.2,8.100000000000001
R001234567,Baldwin,LOT 1 BLK 5 CREEK SUBDIVISION 1.5 AC,0.0,1.5,1.5,0.0,1666.6666666666667,35.0,40.9,5.899999999999999
R001234569,Baldwin,LOT 5 BLK 12 RESIDENTIAL 2.25 ACRES WITH POND ACCESS,0.0,2.25,2.25,0.0,3777.777777777778,35.0,47.1,12.100000000000001
R001234571,Baldwin,RURAL PROPERTY 3.8 AC WITH CREEK FRONTAGE,0.0,3.8,3.8,0.0,1250.0657894736842,38.1,49.2,11.100000000000001
R001234572,Baldwin,LOT 8 BLK 3 LAKEFRONT SUBDIVISION 1.75 ACRES,0.0,1.75,1.75,0.0,7142.857142857143,41.5,42.8,1.2999999999999972
R001234570,Baldwin,COMMERCIAL LOT 100' X 200' DOWNTOWN,0.0,0.4591368227731864,0.4591368227731864,0.0,32670.0,31.5,17.0,-14.5
R001234573,Baldwin,VACANT LOT 50' X 100' RESIDENTIAL,0.0,0.1147842056932966,0.1147842056932966,0.0,15688.134,35.5,12.0,-23.5
R001234576,Baldwin,RESIDENTIAL LOT 72' X 131' CORNER,0.0,0.21652892561983472,0.21652892561983472,0.0,15704.599236641221,38.5,13.5,-25.0
0123001430180040000000,Autauga,LOT 16 BLK 4 EAST LAKE HGLDS,0.0,0.0,0.0,0.0,,51.9,0.0,-51.9
