rank,parcel_id,county,amount,acreage,price_per_acre,water_score,description,water_features,investment_score
1,3110093140000470000000,Franklin,64.76,4.099,15.798975359843865,1.0,T/S-2006-89 LTS 7 THRU 10 BLK MAP OF GOODWATER HE,,115.0
2,3419073640050240000,Hale,91.9,3.837,23.95100338806359,3.0,"LOTS 386, 433 & 434 LAKESIDE ESTATES, 1ST ADD, 1/7",,115.77
3,082807353003025000,Butler,110.4,2.0,55.2,3.0,"LOT 92 WOODHAVEN LAKES SD, 2ND ADD PB 2A/380",,115.77
4,581304204005042001,Saint Clair,126.94,1.255,101.14741035856575,7.0,SUB OLD CAHABA IV 2ND ADD PH 4 LAKE ACCESS L1542A,lake,118.85
5,611106140002079000,Talladega,139.97,1.215,115.20164609053496,4.0,280' X 189' BEG AT THE INT OF S ROW OF LAKESHORE D,,116.54
6,6111061400021200000000,Talladega,107.04,0.724,147.84530386740332,3.0,150.2' X 210.1' IRR. (D) ADDN @2 LAKEWOOD SECTION,,107.78
7,3115021022060610000000,Franklin,171.58,1.095,156.69406392694066,1.0,H/S BASE YEAR - 1988 LOT 24 BLK 1-A SHORELAND EST,,115.0
8,3424062410050310000000,Hale,18.79,0.115,163.39130434782606,3.0,LAKESIDE ESTATES ADD #3 SPITFIRE DR LOT 344 50 X,,90.16
9,6111061400020940000000,Talladega,101.49,0.62,163.69354838709677,3.0,118' X 229' IRR C LOTS 427 428 ADDN 2 LAKEWOOD SEC,,104.77
10,0113003340160070000000,Autauga,46.68,0.25,186.72,7.0,LOT 22 BLK 8 NORTH LAKE PARK ADD SECT 33 TWSP 16S,lake,96.56
11,611106140002052000,Talladega,112.56,0.586,192.08191126279866,3.0,128.9'X197.9'(IRR)(D) COUNTRY CLUB EST LAKEWOOD SE,,103.79
12,3424062440130020000,Hale,85.0,0.397,214.1057934508816,3.0,"LOTS 130 & 133 LAKESIDE EST. ADD #5, PB 1/85. S24-",,98.32
13,0113003340160210000000,Autauga,53.57,0.25,214.28,7.0,LOTS 8 & 9 BLK 1 NORTH LAKE PARK,lake,96.56
14,611106130005071000,Talladega,96.73,0.439,220.34168564920273,3.0,67.4' X 283.7' LOT 130 COUNTRY CLUB EST LAKEWOOD S,,99.53
15,311009314000075000,Franklin,55.09,0.25,220.36,1.0,H/S BASE YEAR -  LOT 7 BLK 2 MAP OF GOODWATER HEIG,,93.44
16,3111051600001370000000,Franklin,55.41,0.25,221.64,3.0,H/S BASE YEAR LOT 17 BLK 7 RIVERSIDE GARDENS ADD,,94.06
17,0113003340180020000000,Autauga,55.86,0.25,223.44,7.0,LOTS 8 THRU 11 BLK 3 NORTH LAKE PARK,lake,96.56
18,0113003340160100000000,Autauga,56.04,0.25,224.16,7.0,LOTS 16 & 17 BLK 8 NORTH LAKE PARK ADD SECT 33 TW,lake,96.56
19,6122041730040010000000,Talladega,195.6,0.858,227.97202797202797,2.0,124.4' X 300.4'IRR LOT 8 MEADOW BROOK EST. CHILDER,,110.92
20,582903070002051000,Saint Clair,729.3,3.13,233.0031948881789,3.0,SUB SHELBY SPRING FARMS CAMP WINN SECTOR 2 PHASE 2,,115.77
21,3111051600010450000000,Franklin,58.99,0.25,235.96,3.0,H/S BASE YEAR  W1/2 OF LOT 4 BLK 2 RIVERSIDE GARDE,,94.06
